ID;Workclass;education;marital-status;occupation;relationship;race;sex
53;Private;Prof-school;Married-civ-spouse;Prof-specialty;Wife;White;Female
54;Federal-gov;Bachelors;Divorced;Exec-managerial;Not-in-family;White;Male
55;Self-emp-inc;HS-grad;Divorced;Exec-managerial;Not-in-family;White;Male
56;Private;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male
57;Private;5th-6th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
58;Private;Assoc-voc;Married-civ-spouse;Other-service;Husband;White;Male
59;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
60;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
61;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male
62;?;7th-8th;Married-spouse-absent;?;Not-in-family;White;Male
63;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
64;Private;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male
65;Private;Some-college;Divorced;Tech-support;Not-in-family;White;Male
66;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
67;Private;Some-college;Divorced;Adm-clerical;Not-in-family;White;Female
68;Private;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female
69;Self-emp-inc;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male
70;?;Some-college;Never-married;?;Own-child;White;Male
71;Private;Some-college;Never-married;Prof-specialty;Own-child;White;Male
72;Private;Bachelors;Separated;Sales;Own-child;Black;Female
73;Self-emp-not-inc;Bachelors;Married-civ-spouse;Sales;Husband;White;Male
74;Private;Some-college;Never-married;Machine-op-inspct;Not-in-family;White;Male
75;Private;Some-college;Married-civ-spouse;Prof-specialty;Other-relative;White;Male
76;Private;HS-grad;Never-married;Other-service;Own-child;White;Male
77;Private;Assoc-acdm;Married-civ-spouse;Adm-clerical;Husband;White;Male
78;?;10th;Married-civ-spouse;?;Husband;White;Male
79;Private;11th;Never-married;Other-service;Own-child;White;Female
80;Local-gov;7th-8th;Married-civ-spouse;Farming-fishing;Husband;White;Male
81;Private;HS-grad;Never-married;Sales;Not-in-family;White;Male
82;Private;Bachelors;Married-civ-spouse;Other-service;Husband;White;Male
83;Private;HS-grad;Married-civ-spouse;Other-service;Wife;White;Female
84;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male
85;Private;HS-grad;Divorced;Craft-repair;Not-in-family;White;Female
86;Private;HS-grad;Divorced;Sales;Own-child;White;Female
87;Local-gov;HS-grad;Married-civ-spouse;Protective-serv;Husband;White;Male
88;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male
89;Private;9th;Never-married;Sales;Not-in-family;White;Male
90;Federal-gov;Doctorate;Never-married;Prof-specialty;Not-in-family;White;Female
91;Private;Assoc-voc;Married-civ-spouse;Prof-specialty;Husband;White;Male
92;Private;Some-college;Divorced;Craft-repair;Unmarried;White;Female
93;Private;Some-college;Divorced;Machine-op-inspct;Unmarried;Black;Female
94;Private;HS-grad;Married-civ-spouse;Sales;Wife;Asian-Pac-Islander;Female
95;Local-gov;Bachelors;Married-civ-spouse;Protective-serv;Husband;White;Male
96;Local-gov;Some-college;Never-married;Handlers-cleaners;Not-in-family;White;Male
97;Self-emp-not-inc;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male
98;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male
99;Private;Assoc-acdm;Divorced;Exec-managerial;Unmarried;White;Female
100;Federal-gov;HS-grad;Never-married;Other-service;Own-child;Black;Male
101;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male
102;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
103;Self-emp-not-inc;Masters;Never-married;Prof-specialty;Not-in-family;White;Female
104;Private;Some-college;Never-married;Tech-support;Own-child;White;Female
105;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male
106;Self-emp-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
107;?;10th;Never-married;?;Own-child;White;Female
108;Private;11th;Never-married;Handlers-cleaners;Own-child;White;Male
109;Local-gov;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female
110;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
111;Private;Bachelors;Never-married;Sales;Other-relative;White;Male
112;Private;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
113;Self-emp-not-inc;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male
114;Private;Some-college;Married-civ-spouse;Sales;Wife;White;Female
115;Private;HS-grad;Never-married;Machine-op-inspct;Own-child;White;Female
116;Private;9th;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
117;Self-emp-inc;Some-college;Married-civ-spouse;Sales;Husband;White;Male
118;Local-gov;Assoc-voc;Married-civ-spouse;Craft-repair;Husband;Black;Male
119;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male
120;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male
121;Private;Some-college;Never-married;Other-service;Own-child;White;Female
122;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
123;Private;Bachelors;Never-married;Exec-managerial;Own-child;Black;Male
124;State-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
125;Private;Some-college;Never-married;Other-service;Own-child;Black;Male
126;Private;Bachelors;Married-civ-spouse;Exec-managerial;Wife;White;Female
127;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Female
128;Private;Assoc-acdm;Married-civ-spouse;Adm-clerical;Husband;White;Male
129;?;HS-grad;Married-civ-spouse;?;Husband;White;Male
130;Private;Some-college;Divorced;Craft-repair;Not-in-family;White;Male
131;Private;Assoc-acdm;Never-married;Sales;Not-in-family;White;Female
132;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Female
133;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
134;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male
135;Private;Assoc-acdm;Divorced;Tech-support;Not-in-family;Black;Female
136;Federal-gov;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male
137;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
138;Private;Assoc-voc;Married-civ-spouse;Adm-clerical;Wife;White;Female
139;Private;Some-college;Never-married;Sales;Own-child;White;Male
140;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male
141;Self-emp-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
142;Private;Some-college;Never-married;Sales;Own-child;White;Female
143;Private;Some-college;Never-married;Other-service;Own-child;White;Male
144;Private;Assoc-voc;Never-married;Prof-specialty;Not-in-family;White;Female
145;Private;Some-college;Never-married;Tech-support;Other-relative;White;Male
146;Private;HS-grad;Never-married;Transport-moving;Unmarried;Black;Female
147;Private;Some-college;Married-civ-spouse;Other-service;Husband;White;Male
148;Private;HS-grad;Widowed;Other-service;Unmarried;White;Female
149;Private;11th;Married-civ-spouse;Craft-repair;Husband;White;Male
150;?;Some-college;Divorced;?;Not-in-family;White;Female
151;Local-gov;Some-college;Divorced;Adm-clerical;Unmarried;White;Female
152;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female
153;Private;Bachelors;Never-married;Exec-managerial;Other-relative;Asian-Pac-Islander;Female
154;Private;HS-grad;Never-married;Craft-repair;Own-child;White;Male
155;?;HS-grad;Divorced;?;Not-in-family;White;Male
156;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
157;Private;Bachelors;Never-married;Handlers-cleaners;Not-in-family;White;Male
158;Self-emp-not-inc;Some-college;Separated;Sales;Unmarried;Black;Male
159;Private;HS-grad;Divorced;Craft-repair;Not-in-family;White;Male
160;Private;Bachelors;Separated;Other-service;Other-relative;Black;Male
161;?;1st-4th;Divorced;?;Not-in-family;White;Female
162;Private;HS-grad;Never-married;Other-service;Unmarried;White;Female
163;Self-emp-inc;Masters;Divorced;Exec-managerial;Unmarried;Asian-Pac-Islander;Female
164;Private;HS-grad;Never-married;Exec-managerial;Not-in-family;Asian-Pac-Islander;Female
165;Self-emp-not-inc;Masters;Married-civ-spouse;Sales;Husband;White;Male
166;Private;Some-college;Divorced;Other-service;Unmarried;White;Female
167;Federal-gov;Assoc-acdm;Never-married;Exec-managerial;Not-in-family;White;Male
168;State-gov;Masters;Widowed;Protective-serv;Unmarried;White;Male
169;Private;11th;Never-married;Handlers-cleaners;Own-child;White;Male
170;Local-gov;Assoc-voc;Widowed;Prof-specialty;Not-in-family;White;Female
171;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Male
172;State-gov;HS-grad;Married-civ-spouse;Protective-serv;Husband;White;Male
173;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male
174;Private;Bachelors;Never-married;Craft-repair;Not-in-family;White;Male
175;State-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
176;Private;HS-grad;Married-spouse-absent;Sales;Unmarried;White;Female
177;Private;HS-grad;Never-married;Craft-repair;Own-child;Black;Male
178;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;Black;Male
179;Private;HS-grad;Never-married;Other-service;Own-child;White;Male
180;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
181;Local-gov;Some-college;Married-civ-spouse;Exec-managerial;Husband;Black;Male
182;Private;Some-college;Divorced;Adm-clerical;Not-in-family;White;Female
183;Private;Some-college;Never-married;Craft-repair;Not-in-family;Black;Male
184;Private;7th-8th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
185;Federal-gov;Some-college;Married-civ-spouse;Adm-clerical;Husband;White;Male
186;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;Black;Male
187;Self-emp-not-inc;Bachelors;Divorced;Exec-managerial;Not-in-family;White;Female
188;?;Bachelors;Divorced;?;Not-in-family;White;Female
189;Private;Masters;Married-civ-spouse;Prof-specialty;Wife;White;Female
190;State-gov;Doctorate;Married-civ-spouse;Prof-specialty;Husband;White;Male
191;Private;Some-college;Divorced;Machine-op-inspct;Not-in-family;Black;Female
192;Private;Some-college;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
193;Local-gov;Bachelors;Married-civ-spouse;Craft-repair;Husband;Black;Male
194;Private;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male
195;Federal-gov;Bachelors;Married-civ-spouse;Tech-support;Husband;White;Male
196;Private;5th-6th;Married-civ-spouse;Transport-moving;Other-relative;White;Male
197;Private;Some-college;Divorced;Craft-repair;Not-in-family;White;Male
198;Federal-gov;Masters;Never-married;Exec-managerial;Not-in-family;White;Female
199;Private;Masters;Married-civ-spouse;Prof-specialty;Other-relative;White;Male
200;Self-emp-not-inc;HS-grad;Never-married;Sales;Not-in-family;White;Male
201;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Female
202;?;HS-grad;Never-married;?;Own-child;White;Male
203;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
204;Local-gov;Some-college;Never-married;Prof-specialty;Not-in-family;White;Female
205;State-gov;HS-grad;Divorced;Adm-clerical;Unmarried;White;Female
206;Private;11th;Never-married;Sales;Own-child;White;Female
207;Private;Bachelors;Married-civ-spouse;Other-service;Husband;Black;Male
208;Private;HS-grad;Divorced;Craft-repair;Not-in-family;White;Male
209;Self-emp-inc;HS-grad;Married-civ-spouse;Sales;Wife;White;Female
210;Private;11th;Never-married;Sales;Own-child;White;Female
211;Local-gov;HS-grad;Married-civ-spouse;Transport-moving;Husband;Black;Male
212;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
213;Private;Some-college;Never-married;Sales;Not-in-family;Amer-Indian-Eskimo;Female
214;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;Asian-Pac-Islander;Male
215;Self-emp-inc;7th-8th;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
216;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;Black;Male
217;Private;Assoc-acdm;Divorced;Sales;Not-in-family;White;Female
218;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male
219;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
220;Private;10th;Never-married;Craft-repair;Not-in-family;White;Male
221;Private;Some-college;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
222;?;1st-4th;Divorced;?;Not-in-family;White;Male
223;Private;HS-grad;Never-married;Other-service;Not-in-family;Black;Male
224;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;Black;Male
225;Local-gov;Preschool;Never-married;Machine-op-inspct;Not-in-family;White;Female
226;Private;HS-grad;Never-married;Sales;Own-child;White;Female
227;?;10th;Divorced;?;Not-in-family;Amer-Indian-Eskimo;Female
228;Self-emp-not-inc;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male
229;Private;Assoc-voc;Widowed;Adm-clerical;Not-in-family;White;Female
230;Private;HS-grad;Divorced;Adm-clerical;Not-in-family;White;Female
231;Private;11th;Separated;Transport-moving;Not-in-family;Black;Male
232;Private;HS-grad;Divorced;Sales;Unmarried;Black;Female
233;Private;Some-college;Never-married;Adm-clerical;Not-in-family;White;Male
234;Private;Some-college;Divorced;Craft-repair;Other-relative;Other;Female
235;Private;Prof-school;Never-married;Prof-specialty;Not-in-family;White;Male
236;State-gov;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male
237;State-gov;Some-college;Never-married;Adm-clerical;Not-in-family;White;Female
238;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
239;Local-gov;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male
240;Private;HS-grad;Never-married;Transport-moving;Own-child;White;Male
241;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
242;Self-emp-not-inc;HS-grad;Married-civ-spouse;Other-service;Wife;White;Female
243;State-gov;Assoc-acdm;Married-civ-spouse;Protective-serv;Husband;White;Male
244;?;Some-college;Never-married;?;Own-child;White;Male
245;Private;Some-college;Divorced;Craft-repair;Not-in-family;White;Male
246;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
247;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
248;Private;HS-grad;Never-married;Other-service;Not-in-family;White;Female
249;Private;Assoc-acdm;Married-civ-spouse;Tech-support;Husband;White;Male
250;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
251;Private;Prof-school;Married-civ-spouse;Prof-specialty;Wife;White;Female
252;Private;Bachelors;Married-civ-spouse;Adm-clerical;Wife;Black;Female
253;Local-gov;10th;Widowed;Other-service;Unmarried;Black;Female
254;Local-gov;Some-college;Never-married;Adm-clerical;Own-child;White;Male
255;Private;Some-college;Never-married;Transport-moving;Not-in-family;White;Male
256;Self-emp-not-inc;HS-grad;Married-civ-spouse;Farming-fishing;Husband;Asian-Pac-Islander;Male
257;Private;HS-grad;Never-married;Other-service;Own-child;White;Female
258;Private;HS-grad;Separated;Other-service;Not-in-family;White;Female
259;Private;Assoc-voc;Widowed;Exec-managerial;Not-in-family;White;Female
260;Private;7th-8th;Divorced;Craft-repair;Not-in-family;White;Male
261;Private;Bachelors;Divorced;Prof-specialty;Own-child;White;Female
262;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male
263;Private;11th;Never-married;Other-service;Own-child;White;Male
264;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male
265;Private;11th;Married-civ-spouse;Craft-repair;Husband;White;Male
266;Self-emp-inc;Some-college;Married-civ-spouse;Exec-managerial;Husband;Asian-Pac-Islander;Male
267;?;Some-college;Never-married;?;Own-child;White;Male
268;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
269;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female
270;Private;HS-grad;Married-civ-spouse;Craft-repair;Wife;White;Female
271;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
272;Private;9th;Never-married;Other-service;Own-child;White;Male
273;Self-emp-not-inc;Masters;Married-civ-spouse;Farming-fishing;Husband;White;Male
274;Local-gov;Masters;Never-married;Prof-specialty;Own-child;White;Male
275;Private;HS-grad;Divorced;Prof-specialty;Own-child;White;Female
276;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;Black;Male
277;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
278;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Female
279;Private;Some-college;Never-married;Tech-support;Own-child;White;Female
280;Private;Some-college;Married-civ-spouse;Machine-op-inspct;Wife;White;Female
281;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Female
282;Local-gov;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
283;Private;Assoc-acdm;Divorced;Sales;Unmarried;Black;Female
284;Private;Bachelors;Divorced;Prof-specialty;Not-in-family;White;Female
285;Private;HS-grad;Never-married;Handlers-cleaners;Own-child;White;Male
286;Federal-gov;Masters;Married-civ-spouse;Sales;Husband;White;Male
287;Private;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male
288;Private;Some-college;Divorced;Other-service;Not-in-family;White;Male
289;Private;Bachelors;Never-married;Exec-managerial;Not-in-family;White;Female
290;Private;7th-8th;Married-civ-spouse;Craft-repair;Husband;White;Male
291;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male
292;Private;HS-grad;Divorced;Prof-specialty;Not-in-family;White;Female
293;Local-gov;Bachelors;Never-married;Protective-serv;Not-in-family;White;Male
294;Private;Some-college;Never-married;Sales;Own-child;White;Male
295;Private;Bachelors;Never-married;Tech-support;Unmarried;Black;Female
296;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
297;Self-emp-inc;Bachelors;Divorced;Sales;Not-in-family;White;Female
298;?;Masters;Married-civ-spouse;?;Wife;Asian-Pac-Islander;Female
299;Private;HS-grad;Never-married;Craft-repair;Own-child;White;Male
300;Private;HS-grad;Divorced;Sales;Not-in-family;White;Male
301;Private;Bachelors;Married-civ-spouse;Adm-clerical;Husband;White;Male
302;Private;Some-college;Never-married;Other-service;Not-in-family;Asian-Pac-Islander;Female
303;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
304;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male
305;Private;Some-college;Married-civ-spouse;Adm-clerical;Wife;Asian-Pac-Islander;Female
306;Private;HS-grad;Divorced;Adm-clerical;Not-in-family;White;Female
307;Private;Assoc-acdm;Never-married;Tech-support;Not-in-family;White;Male
308;Private;Assoc-acdm;Never-married;Prof-specialty;Not-in-family;White;Female
309;Private;Assoc-acdm;Married-civ-spouse;Adm-clerical;Husband;White;Male
310;Self-emp-inc;Some-college;Married-civ-spouse;Farming-fishing;Husband;White;Male
311;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male
312;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;Asian-Pac-Islander;Male
313;?;Some-college;Never-married;?;Own-child;Black;Female
314;Self-emp-not-inc;Bachelors;Divorced;Prof-specialty;Not-in-family;Black;Female
315;Private;Some-college;Never-married;Sales;Own-child;White;Male
316;Private;Some-college;Never-married;Machine-op-inspct;Not-in-family;White;Male
317;Self-emp-not-inc;Some-college;Married-civ-spouse;Sales;Husband;White;Male
318;Private;5th-6th;Married-civ-spouse;Machine-op-inspct;Other-relative;White;Female
319;Private;Some-college;Never-married;Tech-support;Not-in-family;White;Female
320;Private;HS-grad;Widowed;Other-service;Not-in-family;White;Female
321;Self-emp-not-inc;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male
322;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male
323;Private;HS-grad;Divorced;Transport-moving;Not-in-family;White;Male
324;Private;11th;Never-married;Exec-managerial;Not-in-family;White;Female
325;Self-emp-not-inc;Masters;Married-civ-spouse;Craft-repair;Husband;White;Male
326;Self-emp-not-inc;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male
327;?;Assoc-voc;Never-married;?;Own-child;Black;Female
328;Private;Some-college;Married-civ-spouse;Prof-specialty;Wife;White;Female
329;Self-emp-not-inc;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male
330;Private;HS-grad;Never-married;Transport-moving;Not-in-family;White;Male
331;Private;Some-college;Never-married;Craft-repair;Not-in-family;Black;Male
332;Private;Bachelors;Never-married;Adm-clerical;Not-in-family;White;Male
333;Private;Assoc-voc;Never-married;Other-service;Not-in-family;White;Male
334;Local-gov;10th;Married-civ-spouse;Adm-clerical;Husband;White;Male
335;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male
336;Private;5th-6th;Never-married;Other-service;Other-relative;White;Male
337;Private;HS-grad;Never-married;Craft-repair;Other-relative;White;Male
338;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Male
339;Private;HS-grad;Never-married;Sales;Unmarried;Black;Male
340;Private;HS-grad;Married-civ-spouse;Other-service;Husband;Black;Male
341;Private;Assoc-acdm;Never-married;Sales;Not-in-family;White;Male
342;Private;Assoc-voc;Married-civ-spouse;Craft-repair;Husband;White;Male
343;State-gov;HS-grad;Married-civ-spouse;Protective-serv;Husband;White;Male
344;Private;HS-grad;Never-married;Farming-fishing;Not-in-family;White;Male
345;State-gov;Some-college;Never-married;Protective-serv;Own-child;Black;Female
346;Self-emp-not-inc;Bachelors;Never-married;Sales;Not-in-family;White;Male
347;?;11th;Married-civ-spouse;?;Husband;White;Male
348;?;Assoc-voc;Divorced;?;Unmarried;White;Female
349;Private;Assoc-acdm;Married-spouse-absent;Other-service;Not-in-family;White;Male
350;Private;Bachelors;Never-married;Prof-specialty;Own-child;White;Male
351;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
352;Private;HS-grad;Married-civ-spouse;Other-service;Husband;White;Male
353;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male
354;Local-gov;11th;Married-civ-spouse;Transport-moving;Husband;White;Male
355;?;Bachelors;Married-civ-spouse;?;Husband;White;Male
356;Federal-gov;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male
357;Private;11th;Widowed;Other-service;Unmarried;Other;Male
358;Private;Assoc-voc;Married-civ-spouse;Tech-support;Husband;White;Male
359;Private;HS-grad;Married-civ-spouse;Adm-clerical;Wife;White;Female
360;Self-emp-not-inc;9th;Married-civ-spouse;Craft-repair;Husband;White;Male
361;Private;10th;Married-civ-spouse;Other-service;Wife;White;Female
362;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male
363;Private;Bachelors;Married-civ-spouse;Transport-moving;Husband;White;Male
364;Private;Bachelors;Divorced;Exec-managerial;Not-in-family;White;Male
365;Private;HS-grad;Married-spouse-absent;Sales;Not-in-family;White;Male
366;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male
367;Self-emp-not-inc;Some-college;Married-civ-spouse;Sales;Husband;White;Male
368;Private;Assoc-acdm;Never-married;Sales;Not-in-family;White;Female
369;Private;Bachelors;Divorced;Exec-managerial;Not-in-family;White;Female
370;Private;HS-grad;Divorced;Sales;Unmarried;White;Female
371;Federal-gov;Some-college;Never-married;Adm-clerical;Unmarried;White;Female
372;Private;11th;Never-married;Other-service;Own-child;White;Male
373;State-gov;Assoc-voc;Married-civ-spouse;Machine-op-inspct;Husband;White;Male
374;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;Black;Male
375;Private;HS-grad;Never-married;Craft-repair;Not-in-family;Black;Male
376;Local-gov;Some-college;Never-married;Adm-clerical;Own-child;White;Female
377;Private;HS-grad;Married-civ-spouse;Craft-repair;Wife;White;Female
378;Private;Some-college;Never-married;Sales;Not-in-family;White;Male
379;Self-emp-not-inc;Masters;Divorced;Exec-managerial;Not-in-family;White;Male
